State,Total,31stAvenueGyro,7Eleven,AJsHotdogsGyros,Alices,AmaRistorante,AmigosKingsClassic,AprisaMexicanCuisine,Arbys,ArcticCircle,AuBonPain,AuntieAnnes,Aw,BackYardBurgers,BadDaddysBurgerBar,BajaFresh,BakersDriveThru,BallStateLafolletteDining,BambooBistro,BaskinRobbins,Bbt,BenJerrys,BGood,BGRTheBurgerJoint,BIGlittlesRestaurant,BillsPlace,BlakesLotaburger,Blimpie,Blondies,BobbysBurgerPalace,BobEvansRestaurant,BojanglesFamousChickennBiscuits,BostonChowdaCompany,BostonMarket,Braums,BravoTacos,BreadeauxPizza,Brixtons,BudsChickenSeafood,BurgerKing,BurgersLanding,BurgerTime,Burgerville,BurgervilleUSA,BushsChicken,BZBreakfastBurgersBeyond,CafeRio,CapriottisSandwichShop,CaptainDs,CaptCrabsTakeAway,CarlsJr,CarsLateNightDelivery,CharcoalDelights,CharGrill,Charkies,CharleysGrilledSubs,CharleysPhillySteaks,CharlieBrowns,CharliesChicken,Checkers,CherryHillDriveInIceCream,ChestersGrill,ChicagoUnionStationFoodCourt,ChickenExpress,ChickenHouse,Chickenow,ChickFilA,ChinaBuddhaInnII,ChinaKingRestaurant,ChipotleMexicanGrill,ChrisDriveIn,ChuckWagon,ChurchsChicken,Cinnabon,CircleDriveIn,CityBites,CodysCafe,ComilaoLanchesBakery,ConvergenceZone,CookOut,CoopDeVille,CostaVidaFreshMexicanGrill,CousinsSubs,CrispyChickenSeafood,CrownFriedChicken,CrystalRestaurant,Culvers,Cusinera,CustardHutPizza,CypressBest,DairyCheer,DairyFreeze,DairyIsle,DairyQueen,DangeloGrilledSandwiches,DansSeafoodChicken,DawgHouseGrill,DelTaco,Dentons,DeweysPizza,DinosGyros,DominosPizza,DonMillies,DQWoodlands,DunkinDonuts,EagansDriveIn,EinsteinBrosBagels,EldonDriveIn,ElevationBurger,ElParaguaRestaurant,ElPolloLoco,ElTarascoMexicanFood,ErniesAllAmericanBurger,Everest,Exxon,FabWingsNBurgers,FallguysBurgerCompany,FamousDaves,FarmerBoys,Fatburger,Fazolis,FirehouseSubs,Fitness19,FiveGuys,FlipBurgerBar,Food4Less,FostersFreeze,FreddysSteakburger,FredsStore,FreshCity,FrischsBigBoy,Froots,Frugals,Fuku,Furrs,GabbysBurgersFries,GardenCatering,GardenFastFood,GenosFastBreak,GeorgesGyrosSpot,GiannisPizza,GoldenChick,GoldStarChili,GoodcentsDeliFreshSubs,GoodTimesBurgersFrozenCustard,Grandys,GrannysDriveIn,GreatSteakPotatoCo,GreekOvenPizzaandWings,Greyhound,GyrosKings,HamburgerKing,HandysLunch,Hardees,Hegenburgers,Hermosa,HokaHokaBento,HometownBuffet,HotDogHeaven,HotDogonaStick,Hotdoks,HubCityExpress,HunamGarden,HungryAndys,IcebergDriveInn,InATub,InNOutBurger,IsabellasPizzeria,IslandsRestaurant,ItalianPizzeriaRestaurant,IvarsSeafoodBar,JackintheBox,JackPirtlesChicken,Jacks,JacksGrocery,JambaJuice,Jamjam,JasonsDeli,JCWs,JerseyJacksEatery,JerseyMikesSubs,JimBobsChickenFingers,JimmyJohns,JimsConeyIsland,JJFishandChicken,JohnnyRockets,Jollibee,JollysDriveIn,KamsChopSuey,KasasPizza,KennedyFriedChickenPizza,KennysDriveIn,KerbysKoneyIsland,KettleRestaurant,KFC,KimLeeFastFood,KingGrill,KingsContrivanceJewelers,Krystal,KumGo,LanesplitterPizzaPub,LeesFamousRecipeChicken,LeesOrientalMartialArts,LennysSubShop,LimeRickyWorld,LionsChoice,LittleCaesarsPizza,LlHawaiianBarbecue,LocoL,LocoMocoDriveInn,LongJohnSilvers,LosVerdes,Loves,Lubys,LukesonHarlem,LunaCornerPizza,LuxorFoodCourt,MadisonStreetSubs,MariasFryBreadMexicanFood,MariosNaturalRomanPizza,MariuKebabberiaGastronomica,MauiTacos,MayfairBoardwalkGrill,MazatlanMexicanRestaurant,McalistersDeli,McDonalds,McLarensPantry,Meatheads,MickeysGyrosRibs,MilosHamburgers,MochaExpress,MoesOriginalBarBQue,MoesSouthwestGrill,MOOYAHBurgersFriesShakes,MrCharBurger,MrHero,MusicCitySubs,NathansFamous,NicksBurgers,NicksGyros,NielsensFrozenCustard,NinosPizza,NoodlesCompany,NortheasternStateUniversity,NyChickenFish,OldCountryBuffet,OmegaDriveIn,OmeletteHouse,OMGRotisserie,OriginalTracks,Osgoods,PacificRim,Paesanos,PalsSuddenService,PandaExpress,PaneraBread,PapaGinos,PapagusGyros,PapaJohnsPizza,PeiWei,PekingWok,PenguinPoint,PennStationEastCoastSubs,PetesBurgers,PetrosChiliChips,PickUpStix,PitaPit,PizzaBarn,PizzaExpress,PizzaFactory,PizzaHut,PizzaOne,PizzaPrimetime,PolloCampero,PolloTropical,PopANugget,PopeyesLouisianaKitchen,Portillos,PortofSubs,PTerrys,QdobaMexicanGrill,Quick,Quiznos,Rafaels,RahwayChickenBurgerInc,RaisingCanesChickenFingers,Rallys,RanchersRoastBeefInc,RapidRays,Redbox,RedRobinGourmetBurgers,RegalCinemasTikahtnu16IMAXRPX,RichiesRestaurant,RichsMightyFineBurgersGrub,Rockys,RolyPoly,RoundTablePizza,RoyalBuffet,RoyRogers,Rubios,RubiosCoastalGrill,Runza,Rushs,Ryans,Saladworks,SammyCarryOut,SamuraiSams,SarkuJapan,Sbarro,Schlotzskys,Sconecutter,Scoopers,SeasideEatery,SensenigPoultryLLC,Sheetz,ShepardsDriveIn,ShlomaInc,ShoneysontheGo,ShopRite,ShotTowerInn,SiamToGo,SimmiesArirangHillCheeseSteak,SkylineChili,SlimChickens,Smashburger,SmoothieKing,SnackShack,SonicDriveIn,SoulfishGrill,SouthAPhillySteaksandHoagies,Spangles,Starbucks,StarsDriveIn,SteakEscape,SteaknShake,Steakout,StLouisOriginalHamburgers,StripesStore2276,StrongwaterSpiritsBotanicals,Subway,SunriseCafe,TacoBell,TacoBueno,TacoCabana,TacoCasa,TacoDelight,TacodelMar,TacoJohns,TacoLocal,TacoMayo,TacoTime,Taqueria,TastyCarryout,TeddysBiggerBurgers,TellersTapRoomKitchen,TheAgora,TheBiscuitFactory,TheBreakAwaySportsCafe,TheChickenPlace,TheFlameBroiler,TheGreatSteakPotatoCo,TheHalalGuys,TheHoneybakedHamCompany,ThePeopleConnection,ThePitaPit,ThePizzaPipeLine,ThePressClub,ThrashersFrenchFries,ThunderRidgeAmpride,TinasCarryoutRestaurant,TomJerrys,TommysSubShop,TomsDriveIn,TomsGrill,ToppersPizza,TravelcentersofAmerica,TropicalSmoothieCafe,TubbysGrilledSubmarines,TudorsBiscuitWorld,Twisters,VistaDriveIn,WaffleHouse,Wendys,WetzelsPretzels,Whataburger,WhiteCastle,WhiteMannaHamburgers,Wienerschnitzel,WindmillGourmetFastFoods,WingsAndPhilly,WingsNMoreWings,Wingstop,Wingstreet,WoodysSloppyDogs,WorldWrapps,WusFineChineseCuisine,YellowCabPizzaCo,Yoshinoya,YourHealthyHabit,YumBrandsInc,Zaxbys,ZipsHamburgersAndFish,ZitisItalianExpress
AK,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,236,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,30,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,4,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,151,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,1,1,0,0,0,0,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,207,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,15,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,10,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CA,674,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,27,0,0,0,16,0,0,0,0,0,0,0,0,27,1,0,1,0,0,0,0,2,0,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,0,1,0,0,65,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,24,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,19,0,0,1,0,0,6,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,39,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,10,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
CO,163,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,16,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,96,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,32,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,471,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,5,0,0,0,0,1,92,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,10,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,36,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,2,0,0,0,0,19,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,36,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GA,347,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,13,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,32,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
